date,value,series_id,country,source,frequency,release_date,ingested_at
2025-04-01,1.7,policy_rate,china,china_akshare,monthly,2025-04-27,2026-03-27 03:39:24.854120+00:00
2025-05-01,1.7,policy_rate,china,china_akshare,monthly,2025-05-27,2026-03-27 03:39:24.854120+00:00
2025-06-01,1.85,policy_rate,china,china_akshare,monthly,2025-06-27,2026-03-27 03:39:24.854120+00:00
2025-07-01,1.75,policy_rate,china,china_akshare,monthly,2025-07-25,2026-03-27 03:39:24.854120+00:00
2025-08-01,1.54,policy_rate,china,china_akshare,monthly,2025-08-27,2026-03-27 03:39:24.854120+00:00
2025-09-01,1.53,policy_rate,china,china_akshare,monthly,2025-09-26,2026-03-27 03:39:24.854120+00:00
2025-10-01,1.65,policy_rate,china,china_akshare,monthly,2025-10-27,2026-03-27 03:39:24.854120+00:00
2025-11-01,1.53,policy_rate,china,china_akshare,monthly,2025-11-27,2026-03-27 03:39:24.854120+00:00
2025-12-01,1.53,policy_rate,china,china_akshare,monthly,2025-12-26,2026-03-27 03:39:24.854120+00:00
2026-01-01,1.63,policy_rate,china,china_akshare,monthly,2026-01-27,2026-03-27 03:39:24.854120+00:00
2026-02-01,1.55,policy_rate,china,china_akshare,monthly,2026-02-27,2026-03-27 03:39:24.854120+00:00
2026-03-01,1.51,policy_rate,china,china_akshare,monthly,2026-03-27,2026-03-27 03:39:24.854120+00:00
