series_id,source_used,row_count,latest_date,required_for_minimum_regime,status,ingested_at
cpi,tushare,506,2026-02-01,True,ready,2026-03-28 08:13:32.491426+00:00
pmi,tushare,254,2026-02-01,True,ready,2026-03-28 08:13:32.491426+00:00
industrial_production,public_site,1,2025-11-01,False,ready,2026-03-28 08:13:32.491426+00:00
policy_rate,tushare,1525,2026-01-20,True,ready,2026-03-28 08:13:32.491426+00:00
yield_10y,tushare,2000,2026-03-27,True,ready,2026-03-28 08:13:32.491426+00:00
m2,tushare,367,2026-02-01,False,ready,2026-03-28 08:13:32.491426+00:00
core_cpi,public_site,0,,False,missing,2026-03-28 08:13:32.491426+00:00
unrate,public_site,1,2026-02-01,False,ready,2026-03-28 08:13:32.491426+00:00
hs300_pe_proxy,tushare,3000,2026-03-27,False,ready,2026-03-28 08:13:32.491426+00:00
hs300_pb_proxy,tushare,3000,2026-03-27,False,ready,2026-03-28 08:13:32.491426+00:00
shiller_pe_proxy,siblis_market,49,2025-12-01,False,ready,2026-03-28 08:13:32.491426+00:00
