date,value,series_id,country,source,frequency,release_date,ingested_at
2008-01-01,7.0781,cpi,china,china_akshare,monthly,2008-01-01,2026-03-24 03:19:49.313026+00:00
2008-02-01,8.7443,cpi,china,china_akshare,monthly,2008-02-01,2026-03-24 03:19:49.313026+00:00
2008-03-01,8.3097,cpi,china,china_akshare,monthly,2008-03-01,2026-03-24 03:19:49.313026+00:00
2008-04-01,8.4829,cpi,china,china_akshare,monthly,2008-04-01,2026-03-24 03:19:49.313026+00:00
2008-05-01,7.7163,cpi,china,china_akshare,monthly,2008-05-01,2026-03-24 03:19:49.313026+00:00
2008-06-01,7.0844,cpi,china,china_akshare,monthly,2008-06-01,2026-03-24 03:19:49.313026+00:00
2008-07-01,6.302,cpi,china,china_akshare,monthly,2008-07-01,2026-03-24 03:19:49.313026+00:00
2008-08-01,4.9001,cpi,china,china_akshare,monthly,2008-08-01,2026-03-24 03:19:49.313026+00:00
2008-09-01,4.6425,cpi,china,china_akshare,monthly,2008-09-01,2026-03-24 03:19:49.313026+00:00
2008-10-01,3.9744,cpi,china,china_akshare,monthly,2008-10-01,2026-03-24 03:19:49.313026+00:00
2008-11-01,2.434,cpi,china,china_akshare,monthly,2008-11-01,2026-03-24 03:19:49.313026+00:00
2008-12-01,1.1999,cpi,china,china_akshare,monthly,2008-12-01,2026-03-24 03:19:49.313026+00:00
2009-01-01,0.95,cpi,china,china_akshare,monthly,2009-01-01,2026-03-24 03:19:49.313026+00:00
2009-02-01,-1.5582,cpi,china,china_akshare,monthly,2009-02-01,2026-03-24 03:19:49.313026+00:00
2009-03-01,-1.1714,cpi,china,china_akshare,monthly,2009-03-01,2026-03-24 03:19:49.313026+00:00
2009-04-01,-1.5,cpi,china,china_akshare,monthly,2009-04-01,2026-03-24 03:19:49.313026+00:00
2009-05-01,-1.3713,cpi,china,china_akshare,monthly,2009-05-01,2026-03-24 03:19:49.313026+00:00
2009-06-01,-1.7,cpi,china,china_akshare,monthly,2009-06-01,2026-03-24 03:19:49.313026+00:00
2009-07-01,-1.8057,cpi,china,china_akshare,monthly,2009-07-01,2026-03-24 03:19:49.313026+00:00
2009-08-01,-1.2043,cpi,china,china_akshare,monthly,2009-08-01,2026-03-24 03:19:49.313026+00:00
2009-09-01,-0.7883,cpi,china,china_akshare,monthly,2009-09-01,2026-03-24 03:19:49.313026+00:00
2009-10-01,-0.53,cpi,china,china_akshare,monthly,2009-10-01,2026-03-24 03:19:49.313026+00:00
2009-11-01,0.56,cpi,china,china_akshare,monthly,2009-11-01,2026-03-24 03:19:49.313026+00:00
2009-12-01,1.8559,cpi,china,china_akshare,monthly,2009-12-01,2026-03-24 03:19:49.313026+00:00
2010-01-01,1.53,cpi,china,china_akshare,monthly,2010-01-01,2026-03-24 03:19:49.313026+00:00
2010-02-01,2.6953,cpi,china,china_akshare,monthly,2010-02-01,2026-03-24 03:19:49.313026+00:00
2010-03-01,2.3707,cpi,china,china_akshare,monthly,2010-03-01,2026-03-24 03:19:49.313026+00:00
2010-04-01,2.8136,cpi,china,china_akshare,monthly,2010-04-01,2026-03-24 03:19:49.313026+00:00
2010-05-01,3.0613,cpi,china,china_akshare,monthly,2010-05-01,2026-03-24 03:19:49.313026+00:00
2010-06-01,2.9499,cpi,china,china_akshare,monthly,2010-06-01,2026-03-24 03:19:49.313026+00:00
2010-07-01,3.3042,cpi,china,china_akshare,monthly,2010-07-01,2026-03-24 03:19:49.313026+00:00
2010-08-01,3.4794,cpi,china,china_akshare,monthly,2010-08-01,2026-03-24 03:19:49.313026+00:00
2010-09-01,3.6056,cpi,china,china_akshare,monthly,2010-09-01,2026-03-24 03:19:49.313026+00:00
2010-10-01,4.3655,cpi,china,china_akshare,monthly,2010-10-01,2026-03-24 03:19:49.313026+00:00
2010-11-01,5.1192,cpi,china,china_akshare,monthly,2010-11-01,2026-03-24 03:19:49.313026+00:00
2010-12-01,4.5859,cpi,china,china_akshare,monthly,2010-12-01,2026-03-24 03:19:49.313026+00:00
2011-01-01,4.9121,cpi,china,china_akshare,monthly,2011-01-01,2026-03-24 03:19:49.313026+00:00
2011-02-01,4.9443,cpi,china,china_akshare,monthly,2011-02-01,2026-03-24 03:19:49.313026+00:00
2011-03-01,5.383,cpi,china,china_akshare,monthly,2011-03-01,2026-03-24 03:19:49.313026+00:00
2011-04-01,5.3442,cpi,china,china_akshare,monthly,2011-04-01,2026-03-24 03:19:49.313026+00:00
2011-05-01,5.5146,cpi,china,china_akshare,monthly,2011-05-01,2026-03-24 03:19:49.313026+00:00
