date,value,series_id,country,source,frequency,release_date,ingested_at
1990-03-01,5.0,industrial_production,china,china_akshare,monthly,1990-03-01,2026-03-20 09:31:43.812088+00:00
1990-04-01,0.8,industrial_production,china,china_akshare,monthly,1990-04-01,2026-03-20 09:31:43.812088+00:00
1990-05-01,1.7,industrial_production,china,china_akshare,monthly,1990-05-01,2026-03-20 09:31:43.812088+00:00
1990-06-01,3.3,industrial_production,china,china_akshare,monthly,1990-06-01,2026-03-20 09:31:43.812088+00:00
1990-07-01,5.0,industrial_production,china,china_akshare,monthly,1990-07-01,2026-03-20 09:31:43.812088+00:00
1990-08-01,2.5,industrial_production,china,china_akshare,monthly,1990-08-01,2026-03-20 09:31:43.812088+00:00
1990-09-01,4.2,industrial_production,china,china_akshare,monthly,1990-09-01,2026-03-20 09:31:43.812088+00:00
1990-10-01,6.7,industrial_production,china,china_akshare,monthly,1990-10-01,2026-03-20 09:31:43.812088+00:00
1990-11-01,10.9,industrial_production,china,china_akshare,monthly,1990-11-01,2026-03-20 09:31:43.812088+00:00
1990-12-01,12.6,industrial_production,china,china_akshare,monthly,1990-12-01,2026-03-20 09:31:43.812088+00:00
1991-01-01,12.6,industrial_production,china,china_akshare,monthly,1991-01-01,2026-03-20 09:31:43.812088+00:00
1991-02-01,23.5,industrial_production,china,china_akshare,monthly,1991-02-01,2026-03-20 09:31:43.812088+00:00
1991-03-01,9.2,industrial_production,china,china_akshare,monthly,1991-03-01,2026-03-20 09:31:43.812088+00:00
1991-04-01,10.9,industrial_production,china,china_akshare,monthly,1991-04-01,2026-03-20 09:31:43.812088+00:00
1991-05-01,10.9,industrial_production,china,china_akshare,monthly,1991-05-01,2026-03-20 09:31:43.812088+00:00
1991-06-01,10.9,industrial_production,china,china_akshare,monthly,1991-06-01,2026-03-20 09:31:43.812088+00:00
1991-07-01,9.2,industrial_production,china,china_akshare,monthly,1991-07-01,2026-03-20 09:31:43.812088+00:00
1991-08-01,10.9,industrial_production,china,china_akshare,monthly,1991-08-01,2026-03-20 09:31:43.812088+00:00
1991-09-01,11.8,industrial_production,china,china_akshare,monthly,1991-09-01,2026-03-20 09:31:43.812088+00:00
1991-10-01,12.6,industrial_production,china,china_akshare,monthly,1991-10-01,2026-03-20 09:31:43.812088+00:00
1991-11-01,11.8,industrial_production,china,china_akshare,monthly,1991-11-01,2026-03-20 09:31:43.812088+00:00
1991-12-01,7.6,industrial_production,china,china_akshare,monthly,1991-12-01,2026-03-20 09:31:43.812088+00:00
1992-01-01,5.0,industrial_production,china,china_akshare,monthly,1992-01-01,2026-03-20 09:31:43.812088+00:00
1992-02-01,10.9,industrial_production,china,china_akshare,monthly,1992-02-01,2026-03-20 09:31:43.812088+00:00
1992-03-01,18.5,industrial_production,china,china_akshare,monthly,1992-03-01,2026-03-20 09:31:43.812088+00:00
1992-04-01,16.8,industrial_production,china,china_akshare,monthly,1992-04-01,2026-03-20 09:31:43.812088+00:00
1992-05-01,15.1,industrial_production,china,china_akshare,monthly,1992-05-01,2026-03-20 09:31:43.812088+00:00
1992-06-01,14.3,industrial_production,china,china_akshare,monthly,1992-06-01,2026-03-20 09:31:43.812088+00:00
1992-07-01,16.8,industrial_production,china,china_akshare,monthly,1992-07-01,2026-03-20 09:31:43.812088+00:00
1992-08-01,19.3,industrial_production,china,china_akshare,monthly,1992-08-01,2026-03-20 09:31:43.812088+00:00
1992-09-01,17.6,industrial_production,china,china_akshare,monthly,1992-09-01,2026-03-20 09:31:43.812088+00:00
1992-10-01,17.6,industrial_production,china,china_akshare,monthly,1992-10-01,2026-03-20 09:31:43.812088+00:00
1992-11-01,18.5,industrial_production,china,china_akshare,monthly,1992-11-01,2026-03-20 09:31:43.812088+00:00
1992-12-01,21.8,industrial_production,china,china_akshare,monthly,1992-12-01,2026-03-20 09:31:43.812088+00:00
1993-01-01,26.9,industrial_production,china,china_akshare,monthly,1993-01-01,2026-03-20 09:31:43.812088+00:00
