date,value,series_id,country,source,frequency,release_date,ingested_at
1998-02-01,17.4,m2,china,china_akshare,monthly,1998-02-01,2026-03-22 03:26:50.411482+00:00
1998-03-01,16.7,m2,china,china_akshare,monthly,1998-03-01,2026-03-22 03:26:50.411482+00:00
1998-04-01,15.4,m2,china,china_akshare,monthly,1998-04-01,2026-03-22 03:26:50.411482+00:00
1998-05-01,14.6,m2,china,china_akshare,monthly,1998-05-01,2026-03-22 03:26:50.411482+00:00
1998-06-01,15.5,m2,china,china_akshare,monthly,1998-06-01,2026-03-22 03:26:50.411482+00:00
1998-07-01,14.6,m2,china,china_akshare,monthly,1998-07-01,2026-03-22 03:26:50.411482+00:00
1998-08-01,15.5,m2,china,china_akshare,monthly,1998-08-01,2026-03-22 03:26:50.411482+00:00
1998-09-01,15.0,m2,china,china_akshare,monthly,1998-09-01,2026-03-22 03:26:50.411482+00:00
1998-10-01,16.0,m2,china,china_akshare,monthly,1998-10-01,2026-03-22 03:26:50.411482+00:00
1998-11-01,16.3,m2,china,china_akshare,monthly,1998-11-01,2026-03-22 03:26:50.411482+00:00
1998-12-01,16.7,m2,china,china_akshare,monthly,1998-12-01,2026-03-22 03:26:50.411482+00:00
1999-01-01,14.8,m2,china,china_akshare,monthly,1999-01-01,2026-03-22 03:26:50.411482+00:00
1999-02-01,14.4,m2,china,china_akshare,monthly,1999-02-01,2026-03-22 03:26:50.411482+00:00
1999-03-01,17.1,m2,china,china_akshare,monthly,1999-03-01,2026-03-22 03:26:50.411482+00:00
1999-04-01,17.8,m2,china,china_akshare,monthly,1999-04-01,2026-03-22 03:26:50.411482+00:00
1999-05-01,17.9,m2,china,china_akshare,monthly,1999-05-01,2026-03-22 03:26:50.411482+00:00
1999-06-01,17.2,m2,china,china_akshare,monthly,1999-06-01,2026-03-22 03:26:50.411482+00:00
1999-07-01,17.7,m2,china,china_akshare,monthly,1999-07-01,2026-03-22 03:26:50.411482+00:00
1999-08-01,15.7,m2,china,china_akshare,monthly,1999-08-01,2026-03-22 03:26:50.411482+00:00
1999-09-01,16.0,m2,china,china_akshare,monthly,1999-09-01,2026-03-22 03:26:50.411482+00:00
1999-10-01,15.3,m2,china,china_akshare,monthly,1999-10-01,2026-03-22 03:26:50.411482+00:00
1999-11-01,14.5,m2,china,china_akshare,monthly,1999-11-01,2026-03-22 03:26:50.411482+00:00
1999-12-01,14.0,m2,china,china_akshare,monthly,1999-12-01,2026-03-22 03:26:50.411482+00:00
2000-01-01,14.7,m2,china,china_akshare,monthly,2000-01-01,2026-03-22 03:26:50.411482+00:00
2000-02-01,14.3,m2,china,china_akshare,monthly,2000-02-01,2026-03-22 03:26:50.411482+00:00
2000-03-01,13.5,m2,china,china_akshare,monthly,2000-03-01,2026-03-22 03:26:50.411482+00:00
2000-04-01,13.4,m2,china,china_akshare,monthly,2000-04-01,2026-03-22 03:26:50.411482+00:00
2000-05-01,14.5,m2,china,china_akshare,monthly,2000-05-01,2026-03-22 03:26:50.411482+00:00
2000-06-01,14.0,m2,china,china_akshare,monthly,2000-06-01,2026-03-22 03:26:50.411482+00:00
2000-07-01,14.4,m2,china,china_akshare,monthly,2000-07-01,2026-03-22 03:26:50.411482+00:00
2000-08-01,15.6,m2,china,china_akshare,monthly,2000-08-01,2026-03-22 03:26:50.411482+00:00
2000-09-01,14.8,m2,china,china_akshare,monthly,2000-09-01,2026-03-22 03:26:50.411482+00:00
2000-10-01,15.3,m2,china,china_akshare,monthly,2000-10-01,2026-03-22 03:26:50.411482+00:00
