date,value,series_id,country,source,frequency,release_date,ingested_at
2025-04-01,1.8,policy_rate,china,china_akshare,monthly,2025-04-24,2026-03-24 03:20:18.161567+00:00
2025-05-01,1.63,policy_rate,china,china_akshare,monthly,2025-05-23,2026-03-24 03:20:18.161567+00:00
2025-06-01,1.85,policy_rate,china,china_akshare,monthly,2025-06-24,2026-03-24 03:20:18.161567+00:00
2025-07-01,1.6,policy_rate,china,china_akshare,monthly,2025-07-24,2026-03-24 03:20:18.161567+00:00
2025-08-01,1.5,policy_rate,china,china_akshare,monthly,2025-08-22,2026-03-24 03:20:18.161567+00:00
2025-09-01,1.6,policy_rate,china,china_akshare,monthly,2025-09-24,2026-03-24 03:20:18.161567+00:00
2025-10-01,1.48,policy_rate,china,china_akshare,monthly,2025-10-24,2026-03-24 03:20:18.161567+00:00
2025-11-01,1.58,policy_rate,china,china_akshare,monthly,2025-11-24,2026-03-24 03:20:18.161567+00:00
2025-12-01,1.5,policy_rate,china,china_akshare,monthly,2025-12-24,2026-03-24 03:20:18.161567+00:00
2026-01-01,1.55,policy_rate,china,china_akshare,monthly,2026-01-23,2026-03-24 03:20:18.161567+00:00
2026-02-01,1.63,policy_rate,china,china_akshare,monthly,2026-02-24,2026-03-24 03:20:18.161567+00:00
2026-03-01,1.49,policy_rate,china,china_akshare,monthly,2026-03-23,2026-03-24 03:20:18.161567+00:00
