date,value,series_id,country,source,frequency,release_date,ingested_at
1951-12-01,12.5,cpi,china,tushare,monthly,1951-12-01,2026-03-27 22:24:36.331607+00:00
1952-12-01,2.7,cpi,china,tushare,monthly,1952-12-01,2026-03-27 22:24:36.331607+00:00
1953-12-01,5.1,cpi,china,tushare,monthly,1953-12-01,2026-03-27 22:24:36.331607+00:00
1954-12-01,1.4,cpi,china,tushare,monthly,1954-12-01,2026-03-27 22:24:36.331607+00:00
1955-12-01,0.3,cpi,china,tushare,monthly,1955-12-01,2026-03-27 22:24:36.331607+00:00
1956-12-01,-0.1,cpi,china,tushare,monthly,1956-12-01,2026-03-27 22:24:36.331607+00:00
1957-12-01,2.6,cpi,china,tushare,monthly,1957-12-01,2026-03-27 22:24:36.331607+00:00
1958-12-01,-1.1,cpi,china,tushare,monthly,1958-12-01,2026-03-27 22:24:36.331607+00:00
1959-12-01,0.3,cpi,china,tushare,monthly,1959-12-01,2026-03-27 22:24:36.331607+00:00
1960-12-01,2.5,cpi,china,tushare,monthly,1960-12-01,2026-03-27 22:24:36.331607+00:00
1961-12-01,16.1,cpi,china,tushare,monthly,1961-12-01,2026-03-27 22:24:36.331607+00:00
1962-12-01,3.8,cpi,china,tushare,monthly,1962-12-01,2026-03-27 22:24:36.331607+00:00
1963-12-01,-5.9,cpi,china,tushare,monthly,1963-12-01,2026-03-27 22:24:36.331607+00:00
1964-12-01,-3.7,cpi,china,tushare,monthly,1964-12-01,2026-03-27 22:24:36.331607+00:00
1965-12-01,-1.2,cpi,china,tushare,monthly,1965-12-01,2026-03-27 22:24:36.331607+00:00
1966-12-01,-1.2,cpi,china,tushare,monthly,1966-12-01,2026-03-27 22:24:36.331607+00:00
1967-12-01,-0.6,cpi,china,tushare,monthly,1967-12-01,2026-03-27 22:24:36.331607+00:00
1968-12-01,0.1,cpi,china,tushare,monthly,1968-12-01,2026-03-27 22:24:36.331607+00:00
1969-12-01,1.0,cpi,china,tushare,monthly,1969-12-01,2026-03-27 22:24:36.331607+00:00
1970-12-01,0.0,cpi,china,tushare,monthly,1970-12-01,2026-03-27 22:24:36.331607+00:00
1971-12-01,-0.1,cpi,china,tushare,monthly,1971-12-01,2026-03-27 22:24:36.331607+00:00
1972-12-01,0.2,cpi,china,tushare,monthly,1972-12-01,2026-03-27 22:24:36.331607+00:00
1973-12-01,0.1,cpi,china,tushare,monthly,1973-12-01,2026-03-27 22:24:36.331607+00:00
1974-12-01,0.7,cpi,china,tushare,monthly,1974-12-01,2026-03-27 22:24:36.331607+00:00
1975-12-01,0.4,cpi,china,tushare,monthly,1975-12-01,2026-03-27 22:24:36.331607+00:00
