date,value,series_id,country,source,frequency,release_date,ingested_at
1980-01-01,1097404,m3,eurozone,ecb,monthly,1980-01-01,2026-04-30 04:12:19.014583+00:00
1980-02-01,1105520,m3,eurozone,ecb,monthly,1980-02-01,2026-04-30 04:12:19.014583+00:00
1980-03-01,1117228,m3,eurozone,ecb,monthly,1980-03-01,2026-04-30 04:12:19.014583+00:00
1980-04-01,1122639,m3,eurozone,ecb,monthly,1980-04-01,2026-04-30 04:12:19.014583+00:00
1980-05-01,1130672,m3,eurozone,ecb,monthly,1980-05-01,2026-04-30 04:12:19.014583+00:00
1980-06-01,1139157,m3,eurozone,ecb,monthly,1980-06-01,2026-04-30 04:12:19.014583+00:00
1980-07-01,1150687,m3,eurozone,ecb,monthly,1980-07-01,2026-04-30 04:12:19.014583+00:00
1980-08-01,1157482,m3,eurozone,ecb,monthly,1980-08-01,2026-04-30 04:12:19.014583+00:00
1980-09-01,1164470,m3,eurozone,ecb,monthly,1980-09-01,2026-04-30 04:12:19.014583+00:00
1980-10-01,1176441,m3,eurozone,ecb,monthly,1980-10-01,2026-04-30 04:12:19.014583+00:00
1980-11-01,1192713,m3,eurozone,ecb,monthly,1980-11-01,2026-04-30 04:12:19.014583+00:00
1980-12-01,1198927,m3,eurozone,ecb,monthly,1980-12-01,2026-04-30 04:12:19.014583+00:00
1981-01-01,1209209,m3,eurozone,ecb,monthly,1981-01-01,2026-04-30 04:12:19.014583+00:00
1981-02-01,1222048,m3,eurozone,ecb,monthly,1981-02-01,2026-04-30 04:12:19.014583+00:00
1981-03-01,1233640,m3,eurozone,ecb,monthly,1981-03-01,2026-04-30 04:12:19.014583+00:00
1981-04-01,1244293,m3,eurozone,ecb,monthly,1981-04-01,2026-04-30 04:12:19.014583+00:00
1981-05-01,1257592,m3,eurozone,ecb,monthly,1981-05-01,2026-04-30 04:12:19.014583+00:00
1981-06-01,1266536,m3,eurozone,ecb,monthly,1981-06-01,2026-04-30 04:12:19.014583+00:00
1981-07-01,1275262,m3,eurozone,ecb,monthly,1981-07-01,2026-04-30 04:12:19.014583+00:00
1981-08-01,1280121,m3,eurozone,ecb,monthly,1981-08-01,2026-04-30 04:12:19.014583+00:00
1981-09-01,1293408,m3,eurozone,ecb,monthly,1981-09-01,2026-04-30 04:12:19.014583+00:00
1981-10-01,1302173,m3,eurozone,ecb,monthly,1981-10-01,2026-04-30 04:12:19.014583+00:00
1981-11-01,1313067,m3,eurozone,ecb,monthly,1981-11-01,2026-04-30 04:12:19.014583+00:00
1981-12-01,1324037,m3,eurozone,ecb,monthly,1981-12-01,2026-04-30 04:12:19.014583+00:00
1982-01-01,1338805,m3,eurozone,ecb,monthly,1982-01-01,2026-04-30 04:12:19.014583+00:00
1982-02-01,1350759,m3,eurozone,ecb,monthly,1982-02-01,2026-04-30 04:12:19.014583+00:00
1982-03-01,1366026,m3,eurozone,ecb,monthly,1982-03-01,2026-04-30 04:12:19.014583+00:00
1982-04-01,1376835,m3,eurozone,ecb,monthly,1982-04-01,2026-04-30 04:12:19.014583+00:00
1982-05-01,1385084,m3,eurozone,ecb,monthly,1982-05-01,2026-04-30 04:12:19.014583+00:00
1982-06-01,1403542,m3,eurozone,ecb,monthly,1982-06-01,2026-04-30 04:12:19.014583+00:00
1982-07-01,1414886,m3,eurozone,ecb,monthly,1982-07-01,2026-04-30 04:12:19.014583+00:00
1982-08-01,1429591,m3,eurozone,ecb,monthly,1982-08-01,2026-04-30 04:12:19.014583+00:00
1982-09-01,1440564,m3,eurozone,ecb,monthly,1982-09-01,2026-04-30 04:12:19.014583+00:00
1982-10-01,1448567,m3,eurozone,ecb,monthly,1982-10-01,2026-04-30 04:12:19.014583+00:00
1982-11-01,1461236,m3,eurozone,ecb,monthly,1982-11-01,2026-04-30 04:12:19.014583+00:00
1982-12-01,1478452,m3,eurozone,ecb,monthly,1982-12-01,2026-04-30 04:12:19.014583+00:00
1983-01-01,1488249,m3,eurozone,ecb,monthly,1983-01-01,2026-04-30 04:12:19.014583+00:00
1983-02-01,1498226,m3,eurozone,ecb,monthly,1983-02-01,2026-04-30 04:12:19.014583+00:00
1983-03-01,1505297,m3,eurozone,ecb,monthly,1983-03-01,2026-04-30 04:12:19.014583+00:00
1983-04-01,1516179,m3,eurozone,ecb,monthly,1983-04-01,2026-04-30 04:12:19.014583+00:00
1983-05-01,1527129,m3,eurozone,ecb,monthly,1983-05-01,2026-04-30 04:12:19.014583+00:00
1983-06-01,1538465,m3,eurozone,ecb,monthly,1983-06-01,2026-04-30 04:12:19.014583+00:00
1983-07-01,1550957,m3,eurozone,ecb,monthly,1983-07-01,2026-04-30 04:12:19.014583+00:00
1983-08-01,1563091,m3,eurozone,ecb,monthly,1983-08-01,2026-04-30 04:12:19.014583+00:00
1983-09-01,1569280,m3,eurozone,ecb,monthly,1983-09-01,2026-04-30 04:12:19.014583+00:00
1983-10-01,1581495,m3,eurozone,ecb,monthly,1983-10-01,2026-04-30 04:12:19.014583+00:00
1983-11-01,1595252,m3,eurozone,ecb,monthly,1983-11-01,2026-04-30 04:12:19.014583+00:00
1983-12-01,1607971,m3,eurozone,ecb,monthly,1983-12-01,2026-04-30 04:12:19.014583+00:00
1984-01-01,1616845,m3,eurozone,ecb,monthly,1984-01-01,2026-04-30 04:12:19.014583+00:00
1984-02-01,1623473,m3,eurozone,ecb,monthly,1984-02-01,2026-04-30 04:12:19.014583+00:00
1984-03-01,1633342,m3,eurozone,ecb,monthly,1984-03-01,2026-04-30 04:12:19.014583+00:00
1984-04-01,1643658,m3,eurozone,ecb,monthly,1984-04-01,2026-04-30 04:12:19.014583+00:00
1984-05-01,1659252,m3,eurozone,ecb,monthly,1984-05-01,2026-04-30 04:12:19.014583+00:00
1984-06-01,1668177,m3,eurozone,ecb,monthly,1984-06-01,2026-04-30 04:12:19.014583+00:00
1984-07-01,1681799,m3,eurozone,ecb,monthly,1984-07-01,2026-04-30 04:12:19.014583+00:00
1984-08-01,1697027,m3,eurozone,ecb,monthly,1984-08-01,2026-04-30 04:12:19.014583+00:00
1984-09-01,1711302,m3,eurozone,ecb,monthly,1984-09-01,2026-04-30 04:12:19.014583+00:00
1984-10-01,1717983,m3,eurozone,ecb,monthly,1984-10-01,2026-04-30 04:12:19.014583+00:00
1984-11-01,1729206,m3,eurozone,ecb,monthly,1984-11-01,2026-04-30 04:12:19.014583+00:00
1984-12-01,1742791,m3,eurozone,ecb,monthly,1984-12-01,2026-04-30 04:12:19.014583+00:00
1985-01-01,1758943,m3,eurozone,ecb,monthly,1985-01-01,2026-04-30 04:12:19.014583+00:00
1985-02-01,1776558,m3,eurozone,ecb,monthly,1985-02-01,2026-04-30 04:12:19.014583+00:00
1985-03-01,1788333,m3,eurozone,ecb,monthly,1985-03-01,2026-04-30 04:12:19.014583+00:00
1985-04-01,1797511,m3,eurozone,ecb,monthly,1985-04-01,2026-04-30 04:12:19.014583+00:00
1985-05-01,1804082,m3,eurozone,ecb,monthly,1985-05-01,2026-04-30 04:12:19.014583+00:00
1985-06-01,1812216,m3,eurozone,ecb,monthly,1985-06-01,2026-04-30 04:12:19.014583+00:00
1985-07-01,1823517,m3,eurozone,ecb,monthly,1985-07-01,2026-04-30 04:12:19.014583+00:00
1985-08-01,1831278,m3,eurozone,ecb,monthly,1985-08-01,2026-04-30 04:12:19.014583+00:00
1985-09-01,1840516,m3,eurozone,ecb,monthly,1985-09-01,2026-04-30 04:12:19.014583+00:00
