series_id,source_used,row_count,latest_date,required_for_minimum_regime,status,ingested_at
cpi,eurozone_eurostat,302,2026-08-01,True,ready,2026-09-17 05:09:43.487345+00:00
growth_proxy,eurozone_eurostat,427,2026-07-01,True,ready,2026-09-17 05:09:43.487345+00:00
policy_rate,eurozone_ecb,10122,2026-09-17,True,ready,2026-09-17 05:09:43.487345+00:00
yield_10y,eurozone_ecb,0,,True,missing,2026-09-17 05:09:43.487345+00:00
industrial_production,eurozone_eurostat,427,2026-07-01,False,ready,2026-09-17 05:09:43.487345+00:00
core_cpi,eurozone_eurostat,289,2025-12-01,False,ready,2026-09-17 05:09:43.487345+00:00
unrate,eurozone_eurostat,0,,False,missing,2026-09-17 05:09:43.487345+00:00
m3,eurozone_ecb,559,2026-07-01,False,ready,2026-09-17 05:09:43.487345+00:00
equity_pe_proxy,siblis_market,55,2026-06-01,False,ready,2026-09-17 05:09:43.487345+00:00
shiller_pe_proxy,siblis_market,55,2026-06-01,False,ready,2026-09-17 05:09:43.487345+00:00
equity_pb_proxy,public_site,0,,False,missing,2026-09-17 05:09:43.487345+00:00
