date,value,series_id,country,source,frequency,release_date,ingested_at
1970-01-01,7.752553,yield_10y,eurozone,ecb,monthly,1970-01-01,2026-04-17 03:53:06.190537+00:00
1970-02-01,7.903703,yield_10y,eurozone,ecb,monthly,1970-02-01,2026-04-17 03:53:06.190537+00:00
1970-03-01,8.11234,yield_10y,eurozone,ecb,monthly,1970-03-01,2026-04-17 03:53:06.190537+00:00
1970-04-01,8.072667,yield_10y,eurozone,ecb,monthly,1970-04-01,2026-04-17 03:53:06.190537+00:00
1970-05-01,8.243205,yield_10y,eurozone,ecb,monthly,1970-05-01,2026-04-17 03:53:06.190537+00:00
1970-06-01,8.447445,yield_10y,eurozone,ecb,monthly,1970-06-01,2026-04-17 03:53:06.190537+00:00
1970-07-01,8.350388,yield_10y,eurozone,ecb,monthly,1970-07-01,2026-04-17 03:53:06.190537+00:00
1970-08-01,8.39389,yield_10y,eurozone,ecb,monthly,1970-08-01,2026-04-17 03:53:06.190537+00:00
1970-09-01,8.409963,yield_10y,eurozone,ecb,monthly,1970-09-01,2026-04-17 03:53:06.190537+00:00
1970-10-01,8.426637,yield_10y,eurozone,ecb,monthly,1970-10-01,2026-04-17 03:53:06.190537+00:00
1970-11-01,8.373195,yield_10y,eurozone,ecb,monthly,1970-11-01,2026-04-17 03:53:06.190537+00:00
1970-12-01,8.222966,yield_10y,eurozone,ecb,monthly,1970-12-01,2026-04-17 03:53:06.190537+00:00
1971-01-01,7.905951,yield_10y,eurozone,ecb,monthly,1971-01-01,2026-04-17 03:53:06.190537+00:00
1971-02-01,7.830704,yield_10y,eurozone,ecb,monthly,1971-02-01,2026-04-17 03:53:06.190537+00:00
1971-03-01,7.845216,yield_10y,eurozone,ecb,monthly,1971-03-01,2026-04-17 03:53:06.190537+00:00
1971-04-01,7.856379,yield_10y,eurozone,ecb,monthly,1971-04-01,2026-04-17 03:53:06.190537+00:00
1971-05-01,7.89686,yield_10y,eurozone,ecb,monthly,1971-05-01,2026-04-17 03:53:06.190537+00:00
1971-06-01,8.039046,yield_10y,eurozone,ecb,monthly,1971-06-01,2026-04-17 03:53:06.190537+00:00
1971-07-01,8.069148,yield_10y,eurozone,ecb,monthly,1971-07-01,2026-04-17 03:53:06.190537+00:00
1971-08-01,8.016785,yield_10y,eurozone,ecb,monthly,1971-08-01,2026-04-17 03:53:06.190537+00:00
1971-09-01,7.995011,yield_10y,eurozone,ecb,monthly,1971-09-01,2026-04-17 03:53:06.190537+00:00
1971-10-01,7.902785,yield_10y,eurozone,ecb,monthly,1971-10-01,2026-04-17 03:53:06.190537+00:00
1971-11-01,7.845936,yield_10y,eurozone,ecb,monthly,1971-11-01,2026-04-17 03:53:06.190537+00:00
1971-12-01,7.789369,yield_10y,eurozone,ecb,monthly,1971-12-01,2026-04-17 03:53:06.190537+00:00
1972-01-01,7.678324,yield_10y,eurozone,ecb,monthly,1972-01-01,2026-04-17 03:53:06.190537+00:00
1972-02-01,7.557993,yield_10y,eurozone,ecb,monthly,1972-02-01,2026-04-17 03:53:06.190537+00:00
1972-03-01,7.526637,yield_10y,eurozone,ecb,monthly,1972-03-01,2026-04-17 03:53:06.190537+00:00
1972-04-01,7.582169,yield_10y,eurozone,ecb,monthly,1972-04-01,2026-04-17 03:53:06.190537+00:00
1972-05-01,7.50905,yield_10y,eurozone,ecb,monthly,1972-05-01,2026-04-17 03:53:06.190537+00:00
1972-06-01,7.557907,yield_10y,eurozone,ecb,monthly,1972-06-01,2026-04-17 03:53:06.190537+00:00
1972-07-01,7.582335,yield_10y,eurozone,ecb,monthly,1972-07-01,2026-04-17 03:53:06.190537+00:00
1972-08-01,7.577326,yield_10y,eurozone,ecb,monthly,1972-08-01,2026-04-17 03:53:06.190537+00:00
1972-09-01,7.588698,yield_10y,eurozone,ecb,monthly,1972-09-01,2026-04-17 03:53:06.190537+00:00
1972-10-01,7.696853,yield_10y,eurozone,ecb,monthly,1972-10-01,2026-04-17 03:53:06.190537+00:00
1972-11-01,7.810791,yield_10y,eurozone,ecb,monthly,1972-11-01,2026-04-17 03:53:06.190537+00:00
1972-12-01,7.936406,yield_10y,eurozone,ecb,monthly,1972-12-01,2026-04-17 03:53:06.190537+00:00
1973-01-01,8.004867,yield_10y,eurozone,ecb,monthly,1973-01-01,2026-04-17 03:53:06.190537+00:00
1973-02-01,7.935751,yield_10y,eurozone,ecb,monthly,1973-02-01,2026-04-17 03:53:06.190537+00:00
1973-03-01,7.986922,yield_10y,eurozone,ecb,monthly,1973-03-01,2026-04-17 03:53:06.190537+00:00
1973-04-01,8.06778,yield_10y,eurozone,ecb,monthly,1973-04-01,2026-04-17 03:53:06.190537+00:00
1973-05-01,8.360784,yield_10y,eurozone,ecb,monthly,1973-05-01,2026-04-17 03:53:06.190537+00:00
1973-06-01,8.486979,yield_10y,eurozone,ecb,monthly,1973-06-01,2026-04-17 03:53:06.190537+00:00
1973-07-01,8.539714,yield_10y,eurozone,ecb,monthly,1973-07-01,2026-04-17 03:53:06.190537+00:00
1973-08-01,8.591274,yield_10y,eurozone,ecb,monthly,1973-08-01,2026-04-17 03:53:06.190537+00:00
1973-09-01,8.67481,yield_10y,eurozone,ecb,monthly,1973-09-01,2026-04-17 03:53:06.190537+00:00
1973-10-01,8.612548,yield_10y,eurozone,ecb,monthly,1973-10-01,2026-04-17 03:53:06.190537+00:00
1973-11-01,8.681376,yield_10y,eurozone,ecb,monthly,1973-11-01,2026-04-17 03:53:06.190537+00:00
1973-12-01,8.853853,yield_10y,eurozone,ecb,monthly,1973-12-01,2026-04-17 03:53:06.190537+00:00
1974-01-01,9.028589,yield_10y,eurozone,ecb,monthly,1974-01-01,2026-04-17 03:53:06.190537+00:00
1974-02-01,9.398973,yield_10y,eurozone,ecb,monthly,1974-02-01,2026-04-17 03:53:06.190537+00:00
1974-03-01,9.593311,yield_10y,eurozone,ecb,monthly,1974-03-01,2026-04-17 03:53:06.190537+00:00
1974-04-01,9.711231,yield_10y,eurozone,ecb,monthly,1974-04-01,2026-04-17 03:53:06.190537+00:00
