date,value,series_id,country,source,frequency,release_date,ingested_at
1871-02-01,10.92,shiller_pe_proxy,us,multpl,monthly,1871-02-01,2026-03-23 03:32:54.406941+00:00
1871-03-01,11.19,shiller_pe_proxy,us,multpl,monthly,1871-03-01,2026-03-23 03:32:54.406941+00:00
1871-04-01,12.05,shiller_pe_proxy,us,multpl,monthly,1871-04-01,2026-03-23 03:32:54.406941+00:00
1871-05-01,12.59,shiller_pe_proxy,us,multpl,monthly,1871-05-01,2026-03-23 03:32:54.406941+00:00
1871-06-01,12.59,shiller_pe_proxy,us,multpl,monthly,1871-06-01,2026-03-23 03:32:54.406941+00:00
1871-07-01,12.27,shiller_pe_proxy,us,multpl,monthly,1871-07-01,2026-03-23 03:32:54.406941+00:00
1871-08-01,12.55,shiller_pe_proxy,us,multpl,monthly,1871-08-01,2026-03-23 03:32:54.406941+00:00
1871-09-01,12.31,shiller_pe_proxy,us,multpl,monthly,1871-09-01,2026-03-23 03:32:54.406941+00:00
1871-10-01,11.47,shiller_pe_proxy,us,multpl,monthly,1871-10-01,2026-03-23 03:32:54.406941+00:00
1871-11-01,11.6,shiller_pe_proxy,us,multpl,monthly,1871-11-01,2026-03-23 03:32:54.406941+00:00
1871-12-01,11.59,shiller_pe_proxy,us,multpl,monthly,1871-12-01,2026-03-23 03:32:54.406941+00:00
1872-01-01,11.9,shiller_pe_proxy,us,multpl,monthly,1872-01-01,2026-03-23 03:32:54.406941+00:00
1872-02-01,11.96,shiller_pe_proxy,us,multpl,monthly,1872-02-01,2026-03-23 03:32:54.406941+00:00
1872-03-01,12.18,shiller_pe_proxy,us,multpl,monthly,1872-03-01,2026-03-23 03:32:54.406941+00:00
1872-04-01,12.25,shiller_pe_proxy,us,multpl,monthly,1872-04-01,2026-03-23 03:32:54.406941+00:00
1872-05-01,12.28,shiller_pe_proxy,us,multpl,monthly,1872-05-01,2026-03-23 03:32:54.406941+00:00
1872-06-01,12.27,shiller_pe_proxy,us,multpl,monthly,1872-06-01,2026-03-23 03:32:54.406941+00:00
1872-07-01,12.38,shiller_pe_proxy,us,multpl,monthly,1872-07-01,2026-03-23 03:32:54.406941+00:00
1872-08-01,12.13,shiller_pe_proxy,us,multpl,monthly,1872-08-01,2026-03-23 03:32:54.406941+00:00
1872-09-01,11.83,shiller_pe_proxy,us,multpl,monthly,1872-09-01,2026-03-23 03:32:54.406941+00:00
1872-10-01,12.13,shiller_pe_proxy,us,multpl,monthly,1872-10-01,2026-03-23 03:32:54.406941+00:00
1872-11-01,11.71,shiller_pe_proxy,us,multpl,monthly,1872-11-01,2026-03-23 03:32:54.406941+00:00
1872-12-01,12.17,shiller_pe_proxy,us,multpl,monthly,1872-12-01,2026-03-23 03:32:54.406941+00:00
1873-01-01,12.25,shiller_pe_proxy,us,multpl,monthly,1873-01-01,2026-03-23 03:32:54.406941+00:00
1873-02-01,12.05,shiller_pe_proxy,us,multpl,monthly,1873-02-01,2026-03-23 03:32:54.406941+00:00
1873-03-01,11.95,shiller_pe_proxy,us,multpl,monthly,1873-03-01,2026-03-23 03:32:54.406941+00:00
